道具ID	道具类型	子类型	道具名称	晶石	品质	使用等级	职业限制	叠加数量	贩卖价格	有效时间	属性1	基础数值	成长值	权值	属性2	基础数值	成长值	权值	属性3	基础数值	成长值	权值	属性4	基础数值	成长值	权值	套装ID	特效类型	图标	道具描述	模型资源id	产出副本id	基础特效ID
22011011	2	201	罗汉铠甲	2	0	1	1	1	500	0	2	20	400	6	0	424	8480	6											icon_equi_11001	心即佛，佛即心	1		
22011012	2	201	罗汉铠甲	2	3	1	1	1	500	0	2	24	480	6	0	509	10180	6											icon_equi_11001	心即佛，佛即心	1		
22011013	2	201	罗汉铠甲	2	6	1	1	1	500	0	2	28	560	6	0	594	11880	6											icon_equi_11001	心即佛，佛即心	1		
22011014	2	201	罗汉铠甲	2	9	1	1	1	500	0	2	32	640	6	0	678	13560	6											icon_equi_11001	心即佛，佛即心	1		
22011015	2	201	罗汉铠甲	2	12	1	1	1	500	0	2	36	720	6	0	763	15260	6											icon_equi_11001	心即佛，佛即心	1		
22011021	2	201	明光铠甲	10	0	45	1	1	500	0	2	24	480	6	0	509	10176	6											icon_equi_11001	身是菩提树，心如明镜台	1		
22011022	2	201	明光铠甲	10	3	45	1	1	500	0	2	29	576	6	0	611	12216	6											icon_equi_11001	身是菩提树，心如明镜台	1		
22011023	2	201	明光铠甲	10	6	45	1	1	500	0	2	34	672	6	0	713	14256	6											icon_equi_11001	身是菩提树，心如明镜台	1		
22011024	2	201	明光铠甲	10	9	45	1	1	500	0	2	38	768	6	0	814	16272	6											icon_equi_11001	身是菩提树，心如明镜台	1		
22011025	2	201	明光铠甲	10	12	45	1	1	500	0	2	43	864	6	0	916	18312	6											icon_equi_11001	身是菩提树，心如明镜台	1		
22011031	2	201	铠甲	10	0	60	1	1	500	0	2	29	576	6	0	611	12211	6											icon_equi_11001	身是菩提树，心如明镜台	1		
22011032	2	201	铠甲	10	3	60	1	1	500	0	2	35	691	6	0	733	14659	6											icon_equi_11001	身是菩提树，心如明镜台	1		
22011033	2	201	铠甲	10	6	60	1	1	500	0	2	41	806	6	0	856	17107	6											icon_equi_11001	身是菩提树，心如明镜台	1		
22011034	2	201	铠甲	10	9	60	1	1	500	0	2	46	922	6	0	977	19526	6											icon_equi_11001	身是菩提树，心如明镜台	1		
22011035	2	201	铠甲	10	12	60	1	1	500	0	2	52	1037	6	0	1099	21974	6											icon_equi_11001	身是菩提树，心如明镜台	1		
22011111	2	201	伏魔铠甲	150	0	75	1	1	500	0	2	35	691	6	0	733	14653	6									101001		icon_equi_11002	苦海无边，回头是岸	2		
22011112	2	201	伏魔铠甲	150	3	75	1	1	500	0	2	42	829	6	0	880	17591	6									101001		icon_equi_11002	苦海无边，回头是岸	2		
22011113	2	201	伏魔铠甲	150	6	75	1	1	500	0	2	49	967	6	0	1027	20528	6									101001		icon_equi_11002	苦海无边，回头是岸	2		
22011114	2	201	伏魔铠甲	150	9	75	1	1	500	0	2	55	1106	6	0	1172	23431	6									101001		icon_equi_11002	苦海无边，回头是岸	2		
22011115	2	201	伏魔铠甲	200	12	75	1	1	500	0	2	62	1244	6	0	1319	26369	6									101001		icon_equi_11002	苦海无边，回头是岸	2		
22011121	2	201	菩提铠甲	150	0	90	1	1	500	0	2	42	829	6	0	880	17584	6									101002		icon_equi_11002	菩提本无树，明镜亦非台	2		
22011122	2	201	菩提铠甲	150	3	90	1	1	500	0	2	50	995	6	0	1056	21109	6									101002		icon_equi_11002	菩提本无树，明镜亦非台	2		
22011123	2	201	菩提铠甲	150	6	90	1	1	500	0	2	59	1160	6	0	1232	24634	6									101002		icon_equi_11002	菩提本无树，明镜亦非台	2		
22011124	2	201	菩提铠甲	150	9	90	1	1	500	0	2	66	1327	6	0	1406	28117	6									101002		icon_equi_11002	菩提本无树，明镜亦非台	2		
22011125	2	201	菩提铠甲	200	12	90	1	1	500	0	2	74	1493	6	0	1583	31643	6									101002		icon_equi_11002	菩提本无树，明镜亦非台	2		
22011131	2	201	铠甲	150	0	105	1	1	500	0	2	50	995	6	0	1056	21101	6									101002		icon_equi_11002	菩提本无树，明镜亦非台	2		
22011132	2	201	铠甲	150	3	105	1	1	500	0	2	60	1194	6	0	1267	25331	6									101002		icon_equi_11002	菩提本无树，明镜亦非台	2		
22011133	2	201	铠甲	150	6	105	1	1	500	0	2	71	1392	6	0	1478	29561	6									101002		icon_equi_11002	菩提本无树，明镜亦非台	2		
