道具ID	道具类型	子类型	道具名称	晶石	品质	使用等级	职业限制	叠加数量	贩卖价格	有效时间	属性1	基础数值	成长值	权值	属性2	基础数值	成长值	权值	属性3	基础数值	成长值	权值	属性4	基础数值	成长值	权值	套装ID	特效类型	图标	道具描述	模型资源id	产出副本id	基础特效ID
33010001	3	301	技能大礼包	0	2	1	0	9999	500	0																			icon_libao015	开出固定奖励的礼包			
33010002	3	301	初级真气丹	0	0	1	0	9999	500	0																			icon_libao012	寻常的真气丹，使用后获得50点真气			
33010003	3	301	中级真气丹	0	3	1	0	9999	500	0																			icon_libao013	不错的真气丹，使用后获得100点真气			
33010004	3	301	高级真气丹	0	6	1	0	9999	500	0																			icon_libao014	稀有的真气丹，使用后获得200点真气			
33010005	3	301	棍僧蓝装礼包	0	3	1	0	9999	500	0																			icon_libao007	打开后获得全套棍僧蓝色装备。			
33010006	3	301	绫罗蓝装礼包	0	3	1	0	9999	500	0																			icon_libao007	打开后获得全套绫罗蓝色装备。			
33010007	3	301	雪月蓝装礼包	0	3	1	0	9999	500	0																			icon_libao007	打开后获得全套雪月蓝色装备。			
33010008	3	301	棍僧紫装礼包	0	6	1	0	9999	500	0																			icon_libao008	打开后获得全套棍僧紫色装备。			
33010009	3	301	绫罗紫装礼包	0	6	1	0	9999	500	0																			icon_libao008	打开后获得全套绫罗紫色装备。			
33010010	3	301	雪月紫装礼包	0	6	1	0	9999	500	0																			icon_libao008	打开后获得全套雪月紫色装备。			
33010011	3	301	独家礼包	0	6	1	0	9999	500	0																			icon_libao008	打开后获得独家礼包奖励哦			
33010012	3	301	顶级真气丹	0	9	1	0	9999	500	0																			icon_libao014	顶级的真气丹，使用后获得500点真气			
33010013	3	301	六味地黄丸	0	9	1	0	9999	500	0																			icon_libao037	珍贵药丸，使用后可以获得2000点真气。			
33010014	3	301	VIP公测邀请礼包	0	9	1	0	9999	500	0																			icon_libao034	VIP俱乐部专属礼包，请联系您的大客户经理QQ:800108686，敲门砖：53750			
33010015	3	301	VIP双旦欢乐礼包	0	9	1	0	9999	500	0																			icon_libao034	VIP俱乐部专属节日礼包，请联系大客户经理QQ：800108686领取			
33010016	3	301	装备强化礼包	0	9	1	0	9999	500	0																			icon_libao002	性价比超高的礼包，可以开出10个[00fa00]强化石[-]和10个[00fa00]进阶石[-]。			
33010017	3	301	宠物天赋礼包	0	9	1	0	9999	500	0																			icon_libao005	性价比超高的礼包，可以开出10个[00fa00]领悟仙石[-]，2个[00fa00]领悟仙玉[-]以及10个[00fa00]宠物升级丹[-]。			
33010018	3	301	一阶福利礼包	0	12	1	0	1	500	0																			icon_libao009	打开后可获得：[ff29ff]魂魄·露露*20[-]，[15a5ef]强化石*20[-]，[ff29ff]进阶石*10[-]，[00ff00]一级宝石袋*5[-]，[00ff00]初级真气丹*5[-]。			
33010019	3	301	二阶福利礼包	0	12	1	0	1	500	86400																			icon_libao009	打开后可获得：[ef8615]橙色神秘碎片*10[-]，[15a5ef]强化石*20[-]，[ff29ff]进阶石*10[-]，[00ff00]一级宝石袋*10[-]，[00ff00]初级真气丹*10[-]，[00ff00]初级丹药包*10[-]。可打开时间：{0}			
33010020	3	301	三阶福利礼包	0	12	1	0	1	500	86400																			icon_libao009	打开后可获得：[ef8615]橙色神秘碎片*20[-]，[15a5ef]强化石*20[-]，[15a5ef]4级图纸宝袋*20[-]，[00ff00]一级宝石袋*15[-]，[00ff00]初级真气丹*15[-]，[00ff00]初级丹药包*15[-]。可打开时间：{0}			
33010021	3	301	四阶福利礼包	0	12	1	0	1	500	86400																			icon_libao009	打开后可获得：[ef8615]魂魄·心心*15[-]，[15a5ef]强化石*30[-]，[15a5ef]4级图纸宝袋*20[-]，[00ff00]一级宝石袋*20[-]，[00ff00]初级真气丹*20[-]，[00ff00]初级丹药包*20[-]。可打开时间：{0}			
33010022	3	301	五阶福利礼包	0	12	1	0	1	500	86400																			icon_libao009	打开后可获得：[ef8615]魂魄·心心*20[-]，[15a5ef]强化石*30[-]，[ff29ff]进阶石*20[-]，[00ff00]一级宝石袋*25[-]，[00ff00]初级真气丹*25[-]，[00ff00]初级丹药包*25[-]。可打开时间：{0}			
33010023	3	301	六阶福利礼包	0	12	1	0	1	500	86400																			icon_libao009	打开后可获得：[ef8615]橙色武器碎片*10[-]，[15a5ef]强化石*30[-]，[ff29ff]5级图纸宝袋*20[-]，[00ff00]一级宝石袋*30[-]，[00ff00]初级真气丹*30[-]，[00ff00]初级丹药包*30[-]。可打开时间：{0}			
