a道具ID	道具类型	子类型	道具名称	晶石	品质	使用等级	职业限制	叠加数量	贩卖价格	有效时间	属性1	基础数值	成长值	权值	属性2	基础数值	成长值	权值	属性3	基础数值	成长值	权值	属性4	基础数值	成长值	权值	套装ID	特效类型	图标	道具描述	模型资源id	产出副本id	基础特效ID
44011001	4	401	扫荡券	0	0	1	0	999	500	0																			icon_44011001	扫荡副本时需要消耗的道具	1001		
44110001	4	411	一阶生命丹	50	0	1	0	9999	500	0																			icon_44110001	珍贵无比，可以用于升级经脉			
44110002	4	411	二阶生命丹	100	3	1	0	9999	500	0																			icon_44110002	珍贵无比，可以用于升级经脉			
44110003	4	411	三阶生命丹	300	6	1	0	9999	500	0																			icon_44110003	珍贵无比，可以用于升级经脉			
44110004	4	411	四阶生命丹	300	7	1	0	9999	500	0																			icon_44110003	珍贵无比，可以用于升级经脉			
44110005	4	411	五阶生命丹	300	9	1	0	9999	500	0																			icon_44110003	珍贵无比，可以用于升级经脉			
44110006	4	411	六阶生命丹	300	11	1	0	9999	500	0																			icon_44110003	珍贵无比，可以用于升级经脉			
44120001	4	412	一阶攻击丹	50	0	1	0	9999	500	0																			icon_44120001	珍贵无比，可以用于升级经脉			
44120002	4	412	二阶攻击丹	100	3	1	0	9999	500	0																			icon_44120002	珍贵无比，可以用于升级经脉			
44120003	4	412	三阶攻击丹	300	6	1	0	9999	500	0																			icon_44120003	珍贵无比，可以用于升级经脉			
44120004	4	412	四阶攻击丹	300	7	1	0	9999	500	0																			icon_44120003	珍贵无比，可以用于升级经脉			
44120005	4	412	五阶攻击丹	300	9	1	0	9999	500	0																			icon_44120003	珍贵无比，可以用于升级经脉			
44120006	4	412	六阶攻击丹	300	11	1	0	9999	500	0																			icon_44120003	珍贵无比，可以用于升级经脉			
44130001	4	413	一阶防御丹	50	0	1	0	9999	500	0																			icon_44130001	珍贵无比，可以用于升级经脉			
44130002	4	413	二阶防御丹	100	3	1	0	9999	500	0																			icon_44130002	珍贵无比，可以用于升级经脉			
44130003	4	413	三阶防御丹	300	6	1	0	9999	500	0																			icon_44130003	珍贵无比，可以用于升级经脉			
44130004	4	413	四阶防御丹	300	7	1	0	9999	500	0																			icon_44130003	珍贵无比，可以用于升级经脉			
44130005	4	413	五阶防御丹	300	9	1	0	9999	500	0																			icon_44130003	珍贵无比，可以用于升级经脉			
