道具ID	道具类型	子类型	道具名称	晶石	品质	使用等级	职业限制	叠加数量	贩卖价格	有效时间	属性1	基础数值	成长值	权值	属性2	基础数值	成长值	权值	属性3	基础数值	成长值	权值	属性4	基础数值	成长值	权值	套装ID	特效类型	图标	道具描述	模型资源id	产出副本id	基础特效ID
55010001	5	501	进阶石	0	6	1	0	9999	500	0																			icon_55010001	装备进阶必须材料，通关单人boss活动可以获得			
55010002	5	501	2级进阶石	0	2	1	0	9999	500	0																			icon_55010001	装备进阶必须材料，通关主线副本可以获得			
55010003	5	501	3级进阶石	0	3	1	0	9999	500	0																			icon_55010001	装备进阶必须材料，通关主线副本可以获得			
55010004	5	501	4级进阶石	0	4	1	0	9999	500	0																			icon_55010001	装备进阶必须材料，通关主线副本可以获得			
55010005	5	501	5级进阶石	0	5	1	0	9999	500	0																			icon_55010001	装备进阶必须材料，通关主线副本可以获得			
55010006	5	501	6级进阶石	0	6	1	0	9999	500	0																			icon_55010001	装备进阶必须材料，通关主线副本可以获得			
55010007	5	501	7级进阶石	0	7	1	0	9999	500	0																			icon_55010001	装备进阶必须材料，通关主线副本可以获得			
55010008	5	501	8级进阶石	0	8	1	0	9999	500	0																			icon_55010001	装备进阶必须材料，通关主线副本可以获得			
55010009	5	501	9级进阶石	0	9	1	0	9999	500	0																			icon_55010001	装备进阶必须材料，通关主线副本可以获得			
55020001	5	502	1级武器图纸	0	1	1	0	9999	500	0																			icon_55020001	武器升星进阶的特殊材料			
55020002	5	502	2级武器图纸	0	2	1	0	9999	500	0																			icon_55020001	武器升星进阶的特殊材料			
55020003	5	502	3级武器图纸	0	3	1	0	9999	500	0																			icon_55020001	武器升星进阶的特殊材料			
55020004	5	502	4级武器图纸	0	4	1	0	9999	500	0																			icon_55020002	武器升星进阶的特殊材料			
55020005	5	502	5级武器图纸	0	5	1	0	9999	500	0																			icon_55020002	武器升星进阶的特殊材料			
55020006	5	502	6级武器图纸	0	6	1	0	9999	500	0																			icon_55020002	武器升星进阶的特殊材料			
55020007	5	502	7级武器图纸	0	7	1	0	9999	500	0																			icon_55020003	武器升星进阶的特殊材料			
55020008	5	502	8级武器图纸	0	8	1	0	9999	500	0																			icon_55020003	武器升星进阶的特殊材料			
55020009	5	502	9级武器图纸	0	9	1	0	9999	500	0																			icon_55020003	武器升星进阶的特殊材料			
55020010	5	502	10级武器图纸	0	9	1	0	9999	500	0																			icon_55020003	武器升星进阶的特殊材料			
55020101	5	502	1级衣服图纸	0	1	1	0	9999	500	0																			icon_55021001	衣服升星进阶的特殊材料			
55020102	5	502	2级衣服图纸	0	2	1	0	9999	500	0																			icon_55021001	衣服升星进阶的特殊材料			
55020103	5	502	3级衣服图纸	0	3	1	0	9999	500	0																			icon_55021001	衣服升星进阶的特殊材料			
55020104	5	502	4级衣服图纸	0	4	1	0	9999	500	0																			icon_55021002	衣服升星进阶的特殊材料			
