道具ID	道具类型	子类型	아이템명	晶石	品质	使用等级	职业限制	叠加数量	贩卖价格	有效时间	属性1	基础数值	成长值	权值	属性2	基础数值	成长值	权值	属性3	基础数值	成长值	权值	属性4	基础数值	成长值	权值	套装ID	特效类型	图标	아이템 설명	模型资源id	产出副本id	基础特效ID
77010001	7	701	1Lv 기린황옥	0	1	1	0	9999	500	0	1	30	0		5	23	0												icon_77010001	장비 능력 증가: [00fa00]공격+27[-], [00fa00]명중+20[-], 같은 레벨 보석 3개로 더 높은 레벨 보석 합성			
77010002	7	701	2Lv 기린황옥	0	2	1	0	9999	500	0	1	68	0		5	51	0												icon_77010001	장비 능력 증가: [00fa00]공격+71[-], [00fa00]명중+53[-], 같은 레벨 보석 3개로 더 높은 레벨 보석 합성			
77010003	7	701	3Lv 기린황옥	0	3	1	0	9999	500	0	1	182	0		5	137	0												icon_77010001	장비 능력 증가: [00fa00]공격+214[-], [00fa00]명중+160[-], 같은 레벨 보석 3개로 더 높은 레벨 보석 합성			
77010004	7	701	4Lv 기린황옥	0	4	1	0	9999	500	0	1	381	0		5	286	0												icon_77010001	장비 능력 증가: [00fa00]공격+473[-], [00fa00]명중+354[-], 같은 레벨 보석 3개로 더 높은 레벨 보석 합성			
77010005	7	701	5Lv 기린황옥	0	5	1	0	9999	500	0	1	713	0		5	534	0												icon_77010001	장비 능력 증가: [00fa00]공격+810[-], [00fa00]명중+607[-], 같은 레벨 보석 3개로 더 높은 레벨 보석 합성			
77010006	7	701	6Lv 기린황옥	0	6	1	0	9999	500	0	1	1235	0		5	927	0												icon_77010001	장비 능력 증가: [00fa00]공격+1237[-], [00fa00]명중+927[-], 같은 레벨 보석 3개로 더 높은 레벨 보석 합성			
77010007	7	701	7Lv 기린황옥	0	7	1	0	9999	500	0	1	2014	0		5	1510	0												icon_77010001	장비 능력 증가: [00fa00]공격+1735[-], [00fa00]명중+1301[-], 같은 레벨 보석 3개로 더 높은 레벨 보석 합성			
77010008	7	701	8Lv 기린황옥	0	8	1	0	9999	500	0	1	3932	0		5	2949	0												icon_77010001	장비 능력 증가: [00fa00]공격+2362[-], [00fa00]명중+1771[-], 같은 레벨 보석 3개로 더 높은 레벨 보석 합성			
77010009	7	701	9Lv 기린황옥	0	9	1	0	9999	500	0	1	10746	0		5	8060	0												icon_77010001	장비 능력 증가: [00fa00]공격+3858[-], [00fa00]명중+2892[-], 같은 레벨 보석 3개로 더 높은 레벨 보석 합성			
77010011	7	701	1Lv 봉황자옥	0	1	1	0	9999	500	0	1	30	0		3	34	0												icon_77010011	장비 능력 증가: [00fa00]공격+27[-], [00fa00]치명+33[-], 같은 레벨 보석 3개로 더 높은 레벨 보석 합성			
77010012	7	701	2Lv 봉황자옥	0	2	1	0	9999	500	0	1	68	0		3	75	0												icon_77010011	장비 능력 증가: [00fa00]공격+71[-], [00fa00]치명+88[-], 같은 레벨 보석 3개로 더 높은 레벨 보석 합성			
77010013	7	701	3Lv 봉황자옥	0	3	1	0	9999	500	0	1	182	0		3	202	0												icon_77010011	장비 능력 증가: [00fa00]공격+214[-], [00fa00]치명+267[-], 같은 레벨 보석 3개로 더 높은 레벨 보석 합성			
77010014	7	701	4Lv 봉황자옥	0	4	1	0	9999	500	0	1	381	0		3	423	0												icon_77010011	장비 능력 증가: [00fa00]공격+473[-], [00fa00]치명+590[-], 같은 레벨 보석 3개로 더 높은 레벨 보석 합성			
77010015	7	701	5Lv 봉황자옥	0	5	1	0	9999	500	0	1	713	0		3	792	0												icon_77010011	장비 능력 증가: [00fa00]공격+810[-], [00fa00]치명+1012[-], 같은 레벨 보석 3개로 더 높은 레벨 보석 합성			
77010016	7	701	6Lv 봉황자옥	0	6	1	0	9999	500	0	1	1235	0		3	1373	0												icon_77010011	장비 능력 증가: [00fa00]공격+1237[-], [00fa00]치명+1545[-], 같은 레벨 보석 3개로 더 높은 레벨 보석 합성			
77010017	7	701	7Lv 봉황자옥	0	7	1	0	9999	500	0	1	2014	0		3	2238	0												icon_77010011	장비 능력 증가: [00fa00]공격+1735[-], [00fa00]치명+2169[-], 같은 레벨 보석 3개로 더 높은 레벨 보석 합성			
77010018	7	701	8Lv 봉황자옥	0	8	1	0	9999	500	0	1	3932	0		3	4369	0												icon_77010011	장비 능력 증가: [00fa00]공격+2362[-], [00fa00]치명+2952[-], 같은 레벨 보석 3개로 더 높은 레벨 보석 합성			
