道具ID	道具类型	子类型	道具名称	晶石	品质	使用等级	职业限制	叠加数量	贩卖价格	有效时间	属性1	基础数值	成长值	权值	属性2	基础数值	成长值	权值	属性3	基础数值	成长值	权值	属性4	基础数值	成长值	权值	套装ID	特效类型	图标	道具描述	模型资源id	产出副本id	基础特效ID
66010001	6	601	金刚咒	1	9	1	1	9999	500	0																			icon_66010001	心法技能书，可用于学习和升级心法技能金刚咒			
66010002	6	601	天佛掌	1	9	1	1	9999	500	0																			icon_66010002	心法技能书，可用于学习和升级心法技能天佛掌			
66010003	6	601	玄天步	1	6	1	1	9999	500	0																			icon_66010003	心法技能书，可用于学习和升级心法技能玄天步			
66010004	6	601	天煞战决	1	6	1	1	9999	500	0																			icon_66010004	心法技能书，可用于学习和升级心法技能天煞战决			
66010005	6	601	擒虎降龙	1	9	1	1	9999	500	0																			icon_66010005	心法技能书，可用于学习和升级心法技能擒虎降龙			
66010006	6	601	八荒咒	1	6	1	1	9999	500	0																			icon_66010006	心法技能书，可用于学习和升级心法技能八荒咒			
66010007	6	601	不朽金身	1	6	1	1	9999	500	0																			icon_66010007	心法技能书，可用于学习和升级心法技能不朽金身			
66010008	6	601	破天诀	1	6	1	1	9999	500	0																			icon_66010008	心法技能书，可用于学习和升级心法技能破天诀			
66010009	6	601	逆命战天	1	6	1	1	9999	500	0																			icon_66010009	心法技能书，可用于学习和升级心法技能逆命战天			
66010010	6	601	不动明王	1	9	1	1	9999	500	0																			icon_66010010	心法技能书，可用于学习和升级心法技能不动明王			
66020001	6	602	天璇破	1	9	1	2	9999	500	0																			icon_66020001	心法技能书，可用于学习和升级心法技能天璇破			
66020002	6	602	风舞琼花	1	9	1	2	9999	500	0																			icon_66020002	心法技能书，可用于学习和升级心法技能风舞琼花			
66020003	6	602	临云步	1	6	1	2	9999	500	0																			icon_66020003	心法技能书，可用于学习和升级心法技能临云步			
66020004	6	602	破阵曲	1	6	1	2	9999	500	0																			icon_66020004	心法技能书，可用于学习和升级心法技能破阵曲			
66020005	6	602	天女踏浪	1	6	1	2	9999	500	0																			icon_66020005	心法技能书，可用于学习和升级心法技能天女踏浪			
66020006	6	602	灭情针	1	6	1	2	9999	500	0																			icon_66020006	心法技能书，可用于学习和升级心法技能灭情针			
66020007	6	602	三星伴月	1	9	1	2	9999	500	0																			icon_66020007	心法技能书，可用于学习和升级心法技能三星伴月			
66020008	6	602	寒霜饮血	1	6	1	2	9999	500	0																			icon_66020008	心法技能书，可用于学习和升级心法技能寒霜饮血			
66020009	6	602	绫罗回春	1	6	1	2	9999	500	0																			icon_66020009	心法技能书，可用于学习和升级心法技能绫罗回春			
66020010	6	602	伤离别	1	6	1	2	9999	500	0																			icon_66020010	心法技能书，可用于学习和升级心法技能伤离别			
66030001	6	603	寂灭曲	1	9	1	3	9999	500	0																			icon_66030001	心法技能书，可用于学习和升级心法技能寂灭曲			
66030002	6	603	蝶舞金针	1	9	1	3	9999	500	0																			icon_66030002	心法技能书，可用于学习和升级心法技能蝶舞金针			
66030003	6	603	魅影步	1	6	1	3	9999	500	0																			icon_66030003	心法技能书，可用于学习和升级心法技能魅影步			
66030004	6	603	雪中月	1	6	1	3	9999	500	0																			icon_66030004	心法技能书，可用于学习和升级心法技能雪中月			
66030005	6	603	醉红妆	1	6	1	3	9999	500	0																			icon_66030005	心法技能书，可用于学习和升级心法技能醉红妆			
66030006	6	603	曼舞轻歌	1	6	1	3	9999	500	0																			icon_66030006	心法技能书，可用于学习和升级心法技能曼舞轻歌			
66030007	6	603	入阵曲	1	9	1	3	9999	500	0																			icon_66030007	心法技能书，可用于学习和升级心法技能入阵曲			
66030008	6	603	离情三叠	1	6	1	3	9999	500	0																			icon_66030008	心法技能书，可用于学习和升级心法技能离情三叠			
66030009	6	603	傲霜曲	1	6	1	3	9999	500	0																			icon_66030009	心法技能书，可用于学习和升级心法技能傲霜曲			
66030010	6	603	金戈曲	1	6	1	3	9999	500	0																			icon_66030010	心法技能书，可用于学习和升级心法技能金戈曲			
66040001	6	604	血毒咒	1	9	1	4	9999	500	0																			icon_66040001	心法技能书，可用于学习和升级心法技能血毒咒			
66040002	6	604	修罗幻梦	1	9	1	4	9999	500	0																			icon_66040002	心法技能书，可用于学习和升级心法技能修罗幻梦			
66040003	6	604	贪狼剑气	1	6	1	4	9999	500	0																			icon_66040003	心法技能书，可用于学习和升级心法技能贪狼剑气			
66040004	6	604	狂心诀	1	6	1	4	9999	500	0																			icon_66040004	心法技能书，可用于学习和升级心法技能狂心诀			
66040005	6	604	破军诀	1	6	1	4	9999	500	0																			icon_66040005	心法技能书，可用于学习和升级心法技能破军诀			
66040006	6	604	噬魂诀	1	6	1	4	9999	500	0																			icon_66040006	心法技能书，可用于学习和升级心法技能噬魂诀			
66040007	6	604	诛魂诀	1	9	1	4	9999	500	0																			icon_66040007	心法技能书，可用于学习和升级心法技能诛魂诀			
66040008	6	604	血狼咒	1	6	1	4	9999	500	0																			icon_66040008	心法技能书，可用于学习和升级心法技能血狼咒			
66040009	6	604	嗜血心魔	1	6	1	4	9999	500	0																			icon_66040009	心法技能书，可用于学习和升级心法技能嗜血心魔			
66040010	6	604	毒狼刃	1	6	1	4	9999	500	0																			icon_66040010	心法技能书，可用于学习和升级心法技能毒狼刃			
