道具ID	道具类型	子类型	道具名称	晶石	品质	使用等级	职业限制	叠加数量	贩卖价格	有效时间	属性1	基础数值	成长值	权值	属性2	基础数值	成长值	权值	属性3	基础数值	成长值	权值	属性4	基础数值	成长值	权值	套装ID	特效类型	图标	道具描述	模型资源id	产出副本id	基础特效ID
11011011	1	101	罗汉棍	2	0	1	1	1	500	0	1	24	480	6	5	54	1080	6											icon_weap_10001	心即佛，佛即心	1001		
11011012	1	101	罗汉棍	2	3	1	1	1	500	0	1	29	580	6	5	65	1300	6											icon_weap_10001	心即佛，佛即心	1001		
11011013	1	101	罗汉棍	2	6	1	1	1	500	0	1	34	680	6	5	76	1520	6											icon_weap_10001	心即佛，佛即心	1001		
11011014	1	101	罗汉棍	2	9	1	1	1	500	0	1	38	760	6	5	86	1720	6											icon_weap_10001	心即佛，佛即心	1001		
11011015	1	101	罗汉棍	2	12	1	1	1	500	0	1	43	860	6	5	97	1940	6											icon_weap_10001	心即佛，佛即心	1001		
11011021	1	101	明光棍	10	0	45	1	1	500	0	1	29	576	6	5	65	1296	6											icon_weap_10001	身是菩提树，心如明镜台	1001		
11011022	1	101	明光棍	10	3	45	1	1	500	0	1	35	696	6	5	78	1560	6											icon_weap_10001	身是菩提树，心如明镜台	1001		
11011023	1	101	明光棍	10	6	45	1	1	500	0	1	41	816	6	5	91	1824	6											icon_weap_10001	身是菩提树，心如明镜台	1001		
11011024	1	101	明光棍	10	9	45	1	1	500	0	1	46	912	6	5	103	2064	6											icon_weap_10001	身是菩提树，心如明镜台	1001		
11011025	1	101	明光棍	10	12	45	1	1	500	0	1	52	1032	6	5	116	2328	6											icon_weap_10001	身是菩提树，心如明镜台	1001		
11011031	1	101	棍	10	0	60	1	1	500	0	1	35	691	6	5	78	1555	6											icon_weap_10001	身是菩提树，心如明镜台	1001		
11011032	1	101	棍	10	3	60	1	1	500	0	1	42	835	6	5	94	1872	6											icon_weap_10001	身是菩提树，心如明镜台	1001		
11011033	1	101	棍	10	6	60	1	1	500	0	1	49	979	6	5	109	2189	6											icon_weap_10001	身是菩提树，心如明镜台	1001		
11011034	1	101	棍	10	9	60	1	1	500	0	1	55	1094	6	5	124	2477	6											icon_weap_10001	身是菩提树，心如明镜台	1001		
11011035	1	101	棍	10	12	60	1	1	500	0	1	62	1238	6	5	139	2794	6											icon_weap_10001	身是菩提树，心如明镜台	1001		
11011111	1	101	伏魔棍	150	0	75	1	1	500	0	1	42	829	6	5	94	1866	6									101001		icon_weap_10002	苦海无边，回头是岸	1002		
11011112	1	101	伏魔棍	150	3	75	1	1	500	0	1	50	1002	6	5	113	2246	6									101001		icon_weap_10002	苦海无边，回头是岸	1002		
11011113	1	101	伏魔棍	150	6	75	1	1	500	0	1	59	1175	6	5	131	2627	6									101001		icon_weap_10002	苦海无边，回头是岸	1002		
11011114	1	101	伏魔棍	150	9	75	1	1	500	0	1	66	1313	6	5	149	2972	6									101001		icon_weap_10002	苦海无边，回头是岸	1002		
11011115	1	101	伏魔棍	200	12	75	1	1	500	0	1	74	1486	6	5	167	3353	6									101001		icon_weap_10002	苦海无边，回头是岸	1002		
11011121	1	101	菩提棍	150	0	90	1	1	500	0	1	50	995	6	5	113	2239	6									101002		icon_weap_10002	菩提本无树，明镜亦非台	1002		
11011122	1	101	菩提棍	150	3	90	1	1	500	0	1	60	1202	6	5	136	2695	6									101002		icon_weap_10002	菩提本无树，明镜亦非台	1002		
11011123	1	101	菩提棍	150	6	90	1	1	500	0	1	71	1410	6	5	157	3152	6									101002		icon_weap_10002	菩提本无树，明镜亦非台	1002		
11011124	1	101	菩提棍	150	9	90	1	1	500	0	1	79	1576	6	5	179	3566	6									101002		icon_weap_10002	菩提本无树，明镜亦非台	1002		
11011125	1	101	菩提棍	200	12	90	1	1	500	0	1	89	1783	6	5	200	4024	6									101002		icon_weap_10002	菩提本无树，明镜亦非台	1002		
11011131	1	101	棍	150	0	105	1	1	500	0	1	60	1194	6	5	136	2687	6									101002		icon_weap_10002	菩提本无树，明镜亦非台	1002		
11011132	1	101	棍	150	3	105	1	1	500	0	1	72	1442	6	5	163	3234	6									101002		icon_weap_10002	菩提本无树，明镜亦非台	1002		
11011133	1	101	棍	150	6	105	1	1	500	0	1	85	1692	6	5	188	3782	6									101002		icon_weap_10002	菩提本无树，明镜亦非台	1002		
11011134	1	101	棍	150	9	105	1	1	500	0	1	95	1891	6	5	215	4279	6									101002		icon_weap_10002	菩提本无树，明镜亦非台	1002		
11011135	1	101	棍	200	12	105	1	1	500	0	1	107	2140	6	5	240	4829	6									101002		icon_weap_10002	菩提本无树，明镜亦非台	1002		
11011211	1	101	金刚棍	600	0	120	1	1	500	0	1	72	1433	6	5	163	3224	6									101101		icon_weap_10003	放下屠刀，立地成佛	1003		
11011212	1	101	金刚棍	600	3	120	1	1	500	0	1	86	1730	6	5	196	3881	6									101101		icon_weap_10003	放下屠刀，立地成佛	1003		
11011213	1	101	金刚棍	600	6	120	1	1	500	0	1	102	2030	6	5	226	4538	6									101101		icon_weap_10003	放下屠刀，立地成佛	1003		
11011214	1	101	金刚棍	600	9	120	1	1	500	0	1	114	2269	6	5	258	5135	6									101101		icon_weap_10003	放下屠刀，立地成佛	1003		
11011215	1	101	金刚棍	600	12	120	1	1	500	0	1	128	2568	6	5	288	5795	6									101101		icon_weap_10003	放下屠刀，立地成佛	1003		
11011221	1	101	降龙棍	1500	0	135	1	1	500	0	1	86	1720	6	5	196	3869	6									101102		icon_weap_10003	降龙伏虎似平常，斩将封为斗木豸	1003		
11011222	1	101	降龙棍	1500	3	135	1	1	500	0	1	103	2076	6	5	235	4657	6									101102		icon_weap_10003	降龙伏虎似平常，斩将封为斗木豸	1003		
11011223	1	101	降龙棍	1500	6	135	1	1	500	0	1	122	2436	6	5	271	5446	6									101102		icon_weap_10003	降龙伏虎似平常，斩将封为斗木豸	1003		
11011224	1	101	降龙棍	1500	9	135	1	1	500	0	1	137	2723	6	5	310	6162	6									101102		icon_weap_10003	降龙伏虎似平常，斩将封为斗木豸	1003		
11011225	1	101	降龙棍	1500	12	135	1	1	500	0	1	154	3082	6	5	346	6954	6									101102		icon_weap_10003	降龙伏虎似平常，斩将封为斗木豸	1003		
11011231	1	101	千钧棍	600	0	150	1	1	500	0	1	103	2064	6	5	235	4643	6									101003		icon_weap_10003	雷霆之姿，千钧之势	1003		
11011232	1	101	千钧棍	600	3	150	1	1	500	0	1	124	2491	6	5	282	5588	6									101003		icon_weap_10003	雷霆之姿，千钧之势	1003		
11011233	1	101	千钧棍	600	6	150	1	1	500	0	1	146	2923	6	5	325	6535	6									101003		icon_weap_10003	雷霆之姿，千钧之势	1003		
11011234	1	101	千钧棍	600	9	150	1	1	500	0	1	164	3268	6	5	372	7394	6									101003		icon_weap_10003	雷霆之姿，千钧之势	1003		
11011235	1	101	千钧棍	600	12	150	1	1	500	0	1	185	3698	6	5	415	8345	6									101003		icon_weap_10003	雷霆之姿，千钧之势	1003		
11011241	1	101	棍	600	0	160	1	1	500	0	1	124	2477	6	5	282	5572	6									101003		icon_weap_10003	雷霆之姿，千钧之势	1003		
11011242	1	101	棍	600	3	160	1	1	500	0	1	149	2989	6	5	338	6706	6									101003		icon_weap_10003	雷霆之姿，千钧之势	1003		
11011243	1	101	棍	600	6	160	1	1	500	0	1	175	3508	6	5	390	7842	6									101003		icon_weap_10003	雷霆之姿，千钧之势	1003		
11011244	1	101	棍	600	9	160	1	1	500	0	1	197	3922	6	5	446	8873	6									101003		icon_weap_10003	雷霆之姿，千钧之势	1003		
11011245	1	101	棍	600	12	160	1	1	500	0	1	222	4438	6	5	498	10014	6									101003		icon_weap_10003	雷霆之姿，千钧之势	1003		
11011311	1	101	力破千钧棍	3000	0	165	1	1	500	0	1	149	2972	6	5	338	6686	6									101004		icon_weap_10004	雷霆之姿，千钧之势	1003		
11011312	1	101	力破千钧棍	3000	3	165	1	1	500	0	1	179	3587	6	5	406	8047	6									101004		icon_weap_10004	雷霆之姿，千钧之势	1003		
11011313	1	101	力破千钧棍	3000	6	165	1	1	500	0	1	210	4210	6	5	468	9410	6									101004		icon_weap_10004	雷霆之姿，千钧之势	1003		
11011314	1	101	力破千钧棍	3000	9	165	1	1	500	0	1	236	4706	6	5	535	10648	6									101004		icon_weap_10004	雷霆之姿，千钧之势	1003		
11011315	1	101	力破千钧棍	3000	12	165	1	1	500	0	1	266	5326	6	5	598	12017	6									101004		icon_weap_10004	雷霆之姿，千钧之势	1003		
11012011	1	101	晨风伞	2	0	1	2	1	500	0	1	32	640	6	5	54	1080	6											icon_weap_20001	仰观日月星辰,俯察千山万水	2001		
11012012	1	101	晨风伞	2	3	1	2	1	500	0	1	38	760	6	5	65	1300	6											icon_weap_20001	仰观日月星辰,俯察千山万水	2001		
11012013	1	101	晨风伞	2	6	1	2	1	500	0	1	45	900	6	5	76	1520	6											icon_weap_20001	仰观日月星辰,俯察千山万水	2001		
11012014	1	101	晨风伞	2	9	1	2	1	500	0	1	51	1020	6	5	86	1720	6											icon_weap_20001	仰观日月星辰,俯察千山万水	2001		
