id	名字	职业	品质	等级	生命	伤害	护甲	暴击	韧性	命中	闪避	打击力度（护甲伤害）	抗打击力度（总护甲）	护甲回复	破甲重置护甲时间	普通攻击技能id	已学技能id	未学技能id	模型路径	controller路径	头像名称	宠物描述
1001	梦梦	1	3	1	5040	144	108	80	50	54	60	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1002	梦梦	1	3	2	5505	146	131	96	67	69	64	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1003	梦梦	1	3	3	5969	149	153	112	83	83	68	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1004	梦梦	1	3	4	6434	151	176	129	100	98	72	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1005	梦梦	1	3	5	6899	153	199	145	116	112	76	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1006	梦梦	1	3	6	7363	156	222	161	133	127	80	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1007	梦梦	1	3	7	7828	158	244	177	150	142	84	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1008	梦梦	1	3	8	8293	160	267	193	166	156	88	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1009	梦梦	1	3	9	8757	162	290	210	183	171	92	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1010	梦梦	1	3	10	9222	165	313	226	199	186	96	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1011	梦梦	1	3	11	9687	167	335	242	216	200	100	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1012	梦梦	1	3	12	10151	169	358	258	232	215	104	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1013	梦梦	1	3	13	10616	172	381	274	249	229	108	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1014	梦梦	1	3	14	11081	174	403	291	266	244	112	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1015	梦梦	1	3	15	11545	176	426	307	282	259	116	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1016	梦梦	1	3	16	12010	179	449	323	299	273	121	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1017	梦梦	1	3	17	12474	181	472	339	315	288	125	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1018	梦梦	1	3	18	12939	183	494	356	332	303	129	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1019	梦梦	1	3	19	13404	186	517	372	349	317	133	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1020	梦梦	1	3	20	13868	188	540	388	365	332	137	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1021	梦梦	1	3	21	14333	190	562	404	382	346	141	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1022	梦梦	1	3	22	14798	193	585	420	398	361	145	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1023	梦梦	1	3	23	15262	195	608	437	415	376	149	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1024	梦梦	1	3	24	15727	197	631	453	431	390	153	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1025	梦梦	1	3	25	16192	199	653	469	448	405	157	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1026	梦梦	1	3	26	16656	202	676	485	465	420	161	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1027	梦梦	1	3	27	17121	204	699	501	481	434	165	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1028	梦梦	1	3	28	17586	206	722	518	498	449	169	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1029	梦梦	1	3	29	18050	209	744	534	514	463	173	5	500	5	1	1006	100602	100601;100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1030	梦梦	1	3	30	18515	211	767	550	531	478	177	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1031	梦梦	1	3	31	19223	219	796	567	546	492	182	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1032	梦梦	1	3	32	19939	227	826	584	563	507	188	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1033	梦梦	1	3	33	20589	235	851	601	580	522	193	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1034	梦梦	1	3	34	21143	241	876	615	593	534	198	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1035	梦梦	1	3	35	22452	258	929	643	620	559	207	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1036	梦梦	1	3	36	23544	270	976	672	648	584	216	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1037	梦梦	1	3	37	24668	283	1023	703	678	610	226	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1038	梦梦	1	3	38	25825	297	1071	734	707	636	235	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1039	梦梦	1	3	39	27016	311	1121	765	737	664	246	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1040	梦梦	1	3	40	28635	331	1189	800	770	693	257	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1041	梦梦	1	3	41	29662	343	1231	826	796	716	265	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1042	梦梦	1	3	42	30459	352	1266	845	814	733	271	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1043	梦梦	1	3	43	31261	362	1298	865	832	750	278	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1044	梦梦	1	3	44	32067	371	1331	884	851	766	284	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1045	梦梦	1	3	45	33145	383	1376	910	876	789	292	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1046	梦梦	1	3	46	35464	410	1473	971	935	842	312	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1047	梦梦	1	3	47	36334	421	1509	992	955	860	319	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1048	梦梦	1	3	48	37211	431	1545	1013	975	878	325	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1049	梦梦	1	3	49	38092	441	1581	1034	995	895	332	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1050	梦梦	1	3	50	39514	460	1644	1057	1017	915	339	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1051	梦梦	1	3	51	40415	470	1681	1078	1037	933	346	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1052	梦梦	1	3	52	41324	481	1719	1099	1057	952	352	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1053	梦梦	1	3	53	42235	491	1756	1120	1077	969	359	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1054	梦梦	1	3	54	43156	502	1794	1140	1097	987	366	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1055	梦梦	1	3	55	45162	526	1878	1190	1144	1030	381	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1056	梦梦	1	3	56	48329	563	2011	1270	1221	1099	407	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1057	梦梦	1	3	57	51603	601	2148	1352	1300	1170	433	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1058	梦梦	1	3	58	52673	614	2192	1376	1323	1191	441	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1059	梦梦	1	3	59	53749	626	2237	1400	1345	1211	448	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1060	梦梦	1	3	60	58808	688	2450	1511	1452	1307	484	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1061	梦梦	1	3	61	59975	702	2499	1536	1476	1328	492	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1062	梦梦	1	3	62	61146	716	2546	1561	1500	1350	500	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1063	梦梦	1	3	63	62326	730	2596	1586	1524	1372	508	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1064	梦梦	1	3	64	63512	743	2647	1612	1548	1393	516	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1065	梦梦	1	3	65	64705	758	2695	1636	1572	1415	524	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1066	梦梦	1	3	66	65906	771	2745	1662	1597	1437	532	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1067	梦梦	1	3	67	68825	806	2867	1730	1662	1496	554	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1068	梦梦	1	3	68	72171	845	3006	1809	1738	1564	579	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1069	梦梦	1	3	69	75601	886	3150	1890	1815	1633	605	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1070	梦梦	1	3	70	80207	944	3344	1979	1900	1710	633	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1071	梦梦	1	3	71	82359	969	3434	2026	1945	1750	648	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1072	梦梦	1	3	72	83785	986	3494	2054	1973	1775	658	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1073	梦梦	1	3	73	85219	1003	3554	2083	2000	1800	667	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1074	梦梦	1	3	74	86664	1020	3614	2112	2028	1825	676	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1075	梦梦	1	3	75	93584	1101	3902	2273	2182	1964	728	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1076	梦梦	1	3	76	95137	1119	3967	2303	2212	1990	737	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1077	梦梦	1	3	77	96697	1137	4032	2334	2241	2017	747	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1078	梦梦	1	3	78	98264	1156	4097	2365	2271	2044	757	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1079	梦梦	1	3	79	99841	1174	4164	2395	2300	2070	767	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1080	梦梦	1	3	80	103330	1221	4314	2447	2349	2114	783	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1081	梦梦	1	3	81	107137	1266	4472	2530	2429	2186	809	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1082	梦梦	1	3	82	111025	1311	4634	2614	2509	2259	836	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1083	梦梦	1	3	83	114994	1359	4801	2700	2591	2332	864	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1084	梦梦	1	3	84	119045	1406	4969	2787	2675	2408	892	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1085	梦梦	1	3	85	123180	1455	5142	2876	2760	2484	920	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1086	梦梦	1	3	86	127397	1505	5318	2965	2846	2562	949	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1087	梦梦	1	3	87	129287	1528	5397	3001	2880	2592	960	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1088	梦梦	1	3	88	131189	1550	5476	3036	2914	2622	971	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1089	梦梦	1	3	89	133099	1572	5555	3071	2947	2653	982	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1090	梦梦	1	3	90	139171	1650	5813	3168	3041	2737	1014	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
1091	梦梦	1	3	91	148060	1755	6184	3361	3226	2903	1075	5	500	5	1	1006	100602;100601	100603	Mesh/Actor/BattleActor/Pet/pet_006/pet_006	Controller/BattleActor/Pet/Pet_006/Pet_006	pet_06	这是一只梦想着能展翅高飞的灵虫，看起来它的梦想已经实现了。
