宠物职业	天赋编号	图标	天赋名称	天赋描述	属性1编号	属性1数值	属性1百分比	要提升等级的技能ID	等级提升量	前提条件编号	可激活次数	单次额外加战斗力	单次消耗领悟点	单次消耗材料	铜钱消耗
1	1	PetTalent_2_2	추룡의힘	각성마다 펫 공격 300 상승	1	300					3		1	4,44370001,10;	10000
1	2	PetTalent_5_2	견약반석	각성마다 펫 방어 80 상승	2	80					3		1	4,44370001,10;	10000
1	3	PetTalent_4_2	생기발랄	각성마다 펫 생명 7000 상승	0	7000					3		1	4,44370001,10;	10000
1	5	pet_skill6_2	단장부골	각성마다 "단장부골" 스킬공격 상승				100602	2	1,2,3,	3	1500	1	4,44370001,30;4,44370002,30;	10000
1	7	PetTalent_3_3	뇌정만균	각성마다 펫 치명 1000 상승	3	1000				5,	3		3	4,44370001,60;	30000
1	8	PetTalent_1_1	날쌘제비	각성마다 펫 회피 1000 상승	6	1000				5,	3		3	4,44370001,60;	30000
1	9	PetTalent_2_1	백발백중	각성마다 펫 명중 1000 상승	5	1000				5,	3		3	4,44370001,60;	30000
1	10	PetTalent_1_2	창룡의힘	각성마다 펫 공격 2% 상승	1		2			7,	3		3	4,44370001,120;	30000
1	11	PetTalent_5_1	강근철골	각성마다 펫 방어 2% 상승	2		2			8,	3		3	4,44370001,120;	30000
1	12	PetTalent_4_3	자유자재	각성마다 펫 내성 1000 상승	4	1000				9,	3		3	4,44370001,60;	30000
1	13	PetTalent_2_3	불멸봉황	각성마다 펫 생명 3% 상승	0		3			10,11,	3		5	4,44370001,200;4,44370002,120;	50000
1	15	PetTalent_4_1	일월의정령	각성마다 펫 생명 2% 상승	0		2			12,	3		3	4,44370001,120;	30000
1	16	pet_skill6_1	맹독화살	각성마다 "맹독화살" 스킬공격 상승				100601	11	13,	3	3000	5	4,44370001,260;4,44370002,200;	50000
1	17	PetTalent_5_3	항룡의힘	각성마다 펫 공격 3% 상승	1		3			15,	3		5	4,44370001,200;4,44370002,120;	50000
1	18	PetTalent_1_3	현무현세	각성마다 펫 방어 3% 상승	2		3			15,	3		5	4,44370001,200;4,44370002,120;	50000
1	21	pet_skill6_3	유독식물	각성마다 "유독식물" 스킬공격 상승				100603	11	17,18,	3	4000	5	4,44370001,280;4,44370002,300;	50000
1	24	PetTalent_3_1	천둥소생	각성마다 펫 생명 1% 상승	0		1			21,	5		3	4,44370001,900;4,44370002,350;	200000
2	1	PetTalent_2_2	추룡의힘	각성마다 펫 공격 300 상승	1	300					3		1	4,44370001,10;	10000
2	2	PetTalent_5_2	견약반석	각성마다 펫 방어 80 상승	2	80					3		1	4,44370001,10;	10000
2	3	PetTalent_4_2	생기발랄	각성마다 펫 생명 7000 상승	0	7000					3		1	4,44370001,10;	10000
2	5	pet_skill5_1	낙영동심	각성마다 펫 생명 3% 상승	0		3			1,2,3,	3		1	4,44370001,30;4,44370002,30;	10000
