技能id	技能名称	技能战斗力基数	技能类型（0-主动 1-被动）	职业限制	等级限制	技能品级	技能图标名	战斗显示图标	描述参数1	描述参数2	附加属性id	属性值	途径(0-没有 1-升级 2-突破)	效果1	数值1	成长1	效果2	数值2	成长2	效果3	数值3	成长3	效果4	数值4	成长4	技能描述格式化字符串id
101011	복마팔변	50	0	1	0	1	icon_skill1_2_1	icon_skill1_2_1	1.3				1	技能伤害:	1004点		冷却时间:	26秒		作用范围:	204					잔영이 되어 주위 적을 연속 [00fa00]5[-]회 공격한다. [00fa00]{0}+{1}[-]의 피해
101012	복마팔변·제1중	100	0	1	1	2	icon_fw_attonce	icon_skill1_2_1	1.4				2	技能伤害:	1005点		冷却时间:	25秒		作用范围:	205					진화 후 [00fa00]공격 횟수가 추가 증가[-]한다. 잔영이 되어 주위 적을 연속 [00fa00]8[-]회 공격, 스킬공격 증가
101013	복마팔변·제2중	250	0	1	27	3	icon_fw_spare	icon_skill1_2_1	2.4				1	技能伤害:	1006点		冷却时间:	24秒		作用范围:	206					진화 후 [00fa00]분신을 소환해[-] 복마팔변을 시전한다. 분신의 피해는 주인공의 진신과 동일하고, 2배 공격 효과 발동
101014	복마팔변·제3중	500	0	1	43	4	icon_fw_atttwice	icon_skill1_2_1	2.32				1	技能伤害:	1007点		冷却时间:	23秒		作用范围:	207					진화 후 [00fa00]분신을 소환해[-] 복마팔변을 시전한다. 진신과 분신의 스킬 공격 횟수가 [00fa00]2[-]회 증가해, 스킬공격 효과 증가
101015	복마팔변·제4중	1000	0	1	59	5	icon_fw_bomb	icon_skill1_2_1	2.6				1	技能伤害:	1008点		冷却时间:	22秒		作用范围:	208					진화 후 [00fa00]추가 공격 효과가 증가[-]한다. 스킬 완료 시 만자 진언을 발동으로 적 피해, 스킬공격 대폭 증가
101021	전불임세	50	0	1	0	1	icon_skill1_3_1	icon_skill1_3_1	5				0													천신의 도움으로 대성의 환상으로 변신한다. 주위 적 유닛에 [00fa00]{0}+{1}[-]의 피해
101022	전불임세·제1중	100	0	1	11	2	icon_fw_attonce	icon_skill1_3_1	0				1	技能伤害:	1000点		冷却时间:	30秒		作用范围:	200					진화 후 [00fa00]공격 횟수가 추가 증가[-]한다. 대성의 환상으로 변신 후 공격 횟수 [00fa00]1[-]회 증가
101023	전불임세·제2중	250	0	1	31	3	icon_fw_swim	icon_skill1_3_1	1				1	技能伤害:	1001点		冷却时间:	29秒		作用范围:	201					진화 후 [00fa00]추가 스킬 효과가 증가[-]한다. 대성의 환상으로 변해 공격 시, 피해를 주는 동시에 주위의 모든 적을 [00fa00]기절[-]시킴, [00fa00]1[-]초 간 지속
101024	전불임세·제3중	500	0	1	47	4	icon_fw_atttwice	icon_skill1_3_1	1.1				1	技能伤害:	1002点		冷却时间:	28秒		作用范围:	202					진화 후 [00fa00]공격 횟수가 추가 증가[-]한다. 대성의 환상으로 변신 후 공격 횟수 [00fa00]2[-]회 증가
101025	전불임세·제4중	1000	0	1	63	5	icon_fw_unmatch	icon_skill1_3_1	1.2				1	技能伤害:	1003点		冷却时间:	27秒		作用范围:	203					진화 후 [00fa00]추가 스킬 효과가 증가[-]한다. 대성의 환상으로 변해 공격 시, 피해를 주는 동시에 보호 효과를 얻어 [00fa00]무적[-] 효과 발동, [00fa00]2[-]초 간 지속
101031	용비구오	50	0	1	0	1	icon_skill1_1_1	icon_skill1_1_1	2.88				1	技能伤害:	1009点		冷却时间:	21秒		作用范围:	209					진기를 곤봉 끝에 응집해 집중 공격한다. 전방의 모든 적을 공격해 [00fa00]{0}+{1}[-]의 피해 추가
101032	용비구오·제1중	100	0	1	11	2	icon_fw_attonce	icon_skill1_1_1	3.16				1	技能伤害:	1010点		冷却时间:	20秒		作用范围:	210					진화 후 [00fa00]스킬 효과가 증가[-]한다. 스킬 시전 후 주위 적을 띄어 공중 공격
101033	용비구오·제2중	250	0	1	35	3	icon_fw_TMlonger	icon_skill1_1_1	3.44				1	技能伤害:	1011点		冷却时间:	19秒		作用范围:	211					진화 후 [00fa00]스킬공격 지속 시간이 증가[-]한다. 적에게 막대한 피해 추가
101034	용비구오·제3중	500	0	1	51	4	icon_fw_atttwice	icon_skill1_1_1	3.72				1	技能伤害:	1012点		冷却时间:	18秒		作用范围:	212					진화 후 더욱 화려한 효과로 곤봉 끝을 휘둘러 발산된 진기가 [00fa00]거대한 용으로 변해[-] 비상한다. 전방의 적에게 막대한 피해 추가
