心法ID	心法名称	心法战力值	心法类型(0=qte1=被动	职业限制	等级限制	心法等级	下一级ID	升级需要材料	技能图标名	技能描述格式化字符串id
2010101	금강주	100	0	1	1	1	2010102	6,66010001,1;	icon_method_1_1	공격 받을시 20% 확률로 스킬활성, 적에게 160%의 피해, 분당 최대 4회 발동
2010102	금강주	200	0	1	15	2	2010103	6,66010001,2;	icon_method_1_1	공격 받을시 22% 확률로 스킬활성, 적에게 170%의 피해, 분당 최대 4회 발동
2010103	금강주	400	0	1	25	3	2010104	6,66010001,5;	icon_method_1_1	공격 받을시 24% 확률로 스킬활성, 적에게 180%의 피해, 분당 최대 4회 발동
2010104	금강주	800	0	1	35	4	2010105	6,66010001,10;	icon_method_1_1	공격 받을시 26% 확률로 스킬활성, 적에게 190%의 피해, 분당 최대 4회 발동
2010105	금강주	1600	0	1	45	5	2010106	6,66010001,15;	icon_method_1_1	공격 받을시 28% 확률로 스킬활성, 적에게 200%의 피해, 분당 최대 4회 발동
2010106	금강주	3200	0	1	55	6	2010107	6,66010001,20;	icon_method_1_1	공격 받을시 30% 확률로 스킬활성, 적에게 210%의 피해, 분당 최대 6회 발동
2010107	금강주	6400	0	1	65	7	2010108	6,66010001,25;	icon_method_1_1	공격 받을시 32% 확률로 스킬활성, 적에게 220%의 피해, 분당 최대 6회 발동
2010108	금강주	12800	0	1	75	8	2010109	6,66010001,30;	icon_method_1_1	공격 받을시 34% 확률로 스킬활성, 적에게 230%의 피해, 분당 최대 6회 발동
2010109	금강주	25600	0	1	85	9	2010110	6,66010001,35;	icon_method_1_1	공격 받을시 36% 확률로 스킬활성, 적에게 240%의 피해, 분당 최대 6회 발동
2010110	금강주	51200	0	1	95	10			icon_method_1_1	공격 받을시 38% 확률로 스킬활성, 적에게 250%의 피해, 분당 최대 6회 발동
2010201	천불장	100	0	1	1	1	2010202	6,66010002,1;	icon_method_1_2	공격 시 5% 확률로 스킬활성, 범위 내 모든 적 유닛에게 60%의 피해, 분당 최대 2회 발동
2010202	천불장	200	0	1	16	2	2010203	6,66010002,2;	icon_method_1_2	공격 시 6% 확률로 스킬활성, 범위 내 모든 적 유닛에게 68%의 피해, 분당 최대 2회 발동
2010203	천불장	400	0	1	26	3	2010204	6,66010002,5;	icon_method_1_2	공격 시 7% 확률로 스킬활성, 범위 내 모든 적 유닛에게 75%의 피해, 분당 최대 2회 발동
2010204	천불장	800	0	1	36	4	2010205	6,66010002,10;	icon_method_1_2	공격 시 8% 확률로 스킬활성, 범위 내 모든 적 유닛에게 83%의 피해, 분당 최대 2회 발동
2010205	천불장	1600	0	1	46	5	2010206	6,66010002,15;	icon_method_1_2	공격 시 9% 확률로 스킬활성, 범위 내 모든 적 유닛에게 90%의 피해, 분당 최대 2회 발동
2010206	천불장	3200	0	1	56	6	2010207	6,66010002,20;	icon_method_1_2	공격 시 10% 확률로 스킬활성, 범위 내 모든 적 유닛에게 98%의 피해, 분당 최대 3회 발동
2010207	천불장	6400	0	1	66	7	2010208	6,66010002,25;	icon_method_1_2	공격 시 11% 확률로 스킬활성, 범위 내 모든 적 유닛에게 105%의 피해, 분당 최대 3회 발동
