심법ID	심법명	활성화 필요 재료	활성화 필요 원보
2010101	금강주	6,66010001,1;	100
2010201	천불장	6,66010002,1;	500
2010301	현천보	6,66010003,1;	300
2010401	천살전결	6,66010004,1;	200
2010501	금호강룡	6,66010005,1;	500
2010601	팔황주	6,66010006,1;	200
2010701	불후금신	6,66010007,1;	300
2010801	파천결	6,66010008,1;	300
2010901	역명전천	6,66010009,1;	200
2011001	부동명왕	6,66010010,1;	500
2020101	천선파	6,66020001,1;	100
2020201	풍무경화	6,66020002,1;	500
2020301	임운보	6,66020003,1;	200
2020401	파진곡	6,66020004,1;	200
2020501	파진곡	6,66020005,1;	200
2020601	멸정침	6,66020006,1;	200
2020701	삼성반월	6,66020007,1;	500
2020801	한상음혈	6,66020008,1;	300
2020901	한상음혈	6,66020009,1;	300
2021001	상리별	6,66020010,1;	200
2030101	적멸곡	6,66030001,1;	100
2030201	적멸곡	6,66030002,1;	500
2030301	매영보	6,66030003,1;	200
2030401	설중월	6,66030004,1;	200
2030501	취홍장	6,66030005,1;	200
2030601	만무경가	6,66030006,1;	200
2030701	입진곡	6,66030007,1;	500
2030801	이정삼첩	6,66030008,1;	300
2030901	오상곡	6,66030009,1;	300
2031001	금과곡	6,66030010,1;	200
2040101	수라환몽	6,66040002,1;	100
2040201	혈독주	6,66040001,1;	500
2040301	주혼결	6,66040007,1;	200
2040401	광심결	6,66040004,1;	200
2040501	기혈심마	6,66040009,1;	200
2040601	탐랑검기	6,66040003,1;	200
2040701	혈랑주	6,66040008,1;	500
2040801	파군결	6,66040005,1;	300
2040901	서혼결	6,66040006,1;	300
2041001	독랑인	6,66040010,1;	200
