ID	等级排名	奖励	描述
0	1	5,55080001,100;4,44330001,100;4,44310002,100;2,2000;	等级排名第一名奖励
1	2	5,55080001,90;4,44330001,90;4,44310002,50;2,1800;	等级排名第二名奖励
2	3	5,55080001,80;4,44330001,80;4,44310002,30;2,1600;	等级排名第三名奖励
3	4	5,55080001,70;4,44330001,70;2,1500;	等级排名第四名奖励
4	5	5,55080001,60;4,44330001,60;2,1400;	等级排名第五名奖励
5	6	5,55080001,50;4,44330001,50;2,1300;	等级排名第六名奖励
6	7	5,55080001,40;4,44330001,40;2,1200;	等级排名第七名奖励
7	8	5,55080001,30;4,44330001,30;2,1100;	等级排名第八名奖励
8	9	5,55080001,20;4,44330001,20;2,1000;	等级排名第九名奖励
9	10	5,55080001,10;4,44330001,10;2,900;	等级排名第十名奖励
