SvrID	SvrName	IP	PORT	AuthIP	X	X	X	Version	Order	OldSvrID
32	沈岸	192.168.0.102	8899	http://192.168.0.246/	1	1		1.1.0	24	32
28	万瑜越南	192.168.0.245	8892	http://192.168.0.246/	1	1		1.1.0	23	28
40001	万瑜自测	192.168.0.245	8901	http://192.168.0.246/	1	1		1.1.0	22	40001
26	熊君自测	192.168.0.228	8999	http://192.168.0.246/	1	1		1.1.0	21	26
25	运营不能动	192.168.0.226	8701	http://192.168.0.246/	1	1		1.1.0	20	25
23	228熊君	192.168.0.228	9000	http://192.168.0.246/	1	1		1.1.0	19	23
22	特仑苏自测	192.168.0.231	18803	http://192.168.0.246/	1	1		1.1.0	18	22
35	万瑜台湾	192.168.0.245	8902	http://192.168.0.246/	1	1		1.1.0	17	35
20	800自测	192.168.0.231	18801	http://192.168.0.246/	1	1		1.1.0	16	20
14	朱遵微自测	221.237.157.134	8803	http://221.237.157.134:8900/	1	1		1.1.0	15	14
31	231越南	192.168.0.231	9000	http://192.168.0.246/	1	1		1.1.0	14	31
33	231Online	192.168.0.231	8877	http://192.168.0.246/	1	1		1.1.0	13	33
4	秦仁强自测	192.168.0.231	8844	http://192.168.0.246/	1	2		1.1.0	12	4
10001	国内集成兼容	192.168.0.242	8890	http://192.168.0.246/	1	1		1.1.0	11	10002
36	策划验收	192.168.0.101	8844	http://192.168.0.246/	1	1		1.1.0	10	36
29	越南数值验收	192.168.0.101	8877	http://192.168.0.246/	1	1		1.1.0	9	29
70001	越南南奇	192.168.0.248	8899	http://192.168.0.246/	1	1		1.1.0	8	70001
60001	台湾数据	192.168.0.247	9988	http://192.168.0.246/	1	5		1.1.0	7	60001
11	大熊自测	192.168.1.37	8889	http://192.168.0.246/	1	1		1.1.0	6	11
8	宁松自测	192.168.0.249	8899	http://192.168.0.246/	1	2		1.1.0	5	8
15	魏露自测	192.168.0.249	10086	http://192.168.0.246/	1	1		1.1.0	4	15
47	秉霖自测	192.168.0.221	9988	http://192.168.0.246/	1	1		1.1.0	3	47
13	钉子自测	192.168.0.248	9989	http://192.168.0.246/	1	1		1.1.0	2	13
2	赵露自测	192.168.0.247	9988	http://192.168.0.247/	1	1		1.1.0	1	2
