ID	Chinese
^logType	
1001	重载配置
1002	当前在线
1003	注册
1004	登录
1005	登出
1006	聊天
1007	升级
1008	强制下线
1009	延迟状态
1010	延迟时间
1011	获得铜币
1012	获得元宝
1013	充值元宝
1014	获得道具
1015	获得体力
1016	获得经验
1017	使用铜币
1018	使用元宝
1019	使用道具
1020	使用体力
1021	强化装备
1022	进阶装备
1023	合成道具
1024	丢弃道具
1025	接受任务
1026	完成任务
1027	进入副本
1028	完成副本
1029	重置副本
1030	获得真气
1031	获得晶石
1032	使用真气
1033	使用晶石
1034	升级技能
1035	进阶技能
1036	解锁心法
1037	升级心法
1038	升级筋脉
1039	挑战擂台
1040	密藏
1041	成就
1042	参加搜索
1043	创建公会
1044	解散公会
1045	添加成员
1046	解雇成员
1047	加好友
1048	删好友
1049	签到
1050	镶嵌宝石
1051	取下宝石
1052	合成宝石
1053	筋脉升级
1054	获得精力
1055	获得称号
1056	使用精力
1057	激活宠物天赋
1058	重置宠物天赋
1059	公会升级
1060	公会销毁
1061	公会经验增加
1062	公会玩家上线
1063	副本流动
1064	公会建设
1065	公会礼佛
1066	公会密藏
1067	挑战密藏
1068	公会擂台
1069	公会竞拍
1070	公会战斗
1071	公会科技解锁
1072	公会科技升级
1073	交易所
1074	野外PVP
1075	战力变化
^useWay	
2001	体力
2002	铜钱
2003	合成装备
2004	强化装备
2005	强化技能
2006	强化心法
2007	强化角色
2008	购买背包
2009	竞技场次数
2010	重置副本
2011	活动
2012	创建公会
2013	公会捐赠
2014	商店
2015	礼包
2016	副本
2017	任务
2018	开箱子
2019	背包格子
2020	精力
2021	解锁心法
2022	激活宠物天赋
2023	真气
2024	建设公会
2025	交易所
2026	改名
^getWay	
3001	系统
3002	副本
3003	任务
3004	商店
3005	邮件
3006	使用道具
3007	使用元宝
3008	礼包
3009	活动
3010	竞技场
3011	公会奖励
3012	支付
3013	礼包支付
3014	活动支付
3015	合成道具
3016	强化道具
3017	强化技能
3018	强化心法
3019	开箱子
3020	成就奖励
3021	宠物天赋重置
3022	真气
3023	宠物回收
3024	交易所
^activity	
4001	任务系统
4002	通用奖励
4003	晶石商店
4004	经书系统
4005	礼包系统
4006	吃大餐
4007	七日目标
4008	多人Boss
4009	守卫雅典娜
4010	公会礼佛
4011	每日任务
4012	竞技场积分
4013	嘉年华
4014	首冲
4015	累计登录
4016	新号七天乐
4017	抽獎活動
4018	十八摸
4019	副本翻牌
4020	LED
4021	双倍熔炼
4022	多倍掉落
4023	商城
4024	连续签到
4025	勇者游戏
4026	夺宝奇兵
4027	王者争霸
4028	每日首充
4029	vip礼包
4030	在线时长礼包
4031	成长礼包
4032	次日礼包
4033	每日登陆
4034	无尽之塔
4035	周卡 月卡 终身哈
4036	成长礼包
4037	元宝双倍
4038	充值满XX金额赠送道具
4039	[不存在]
4040	[不存在]
4041	红包
4042	每日累冲
4043	累计充值
4044	公会副本
4045	零落秘境
4046	好友赠送体力
4047	称号系统
4048	膜拜
4049	熔炼获得额外材料
4050	公会擂台赛
4051	[不存在]
4052	[不存在]
4053	[不存在]
4054	[不存在]
4055	掠夺
4056	排名奖励
4057	限时挑战
4058	开服排名奖励
4059	公会战
4060	限时团购
4061	神奇抽奖
4062	公会科技
4063	限时累计充值
4064	节假日活动
4065	世界掉落
4066	节假日活动1
4067	节假日活动2
4068	节假日活动3
4069	等级挑战
4070	战力挑战
4071	每日消费
4072	累积消费
4073	野外PVP
4074	世界boss
4075	[不存在]
4076	[不存在]
4077	[不存在]
4078	[不存在]
4079	[不存在]
4080	邀请好友
4081	真元系统
4082	宠物商店
4083	公会密藏
4084	离线经验
4085	探宝
4086	小号福音
4087	装备强化进阶剥离
4088	五行系统
4089	活动补签
4090	新手CDK
4091	封测登陆奖励
4092	封测返利
4093	提示下线
^equipPos	
5000	武器
5001	衣服
5002	裤子
5003	鞋子
5004	护腕
5005	腰带
5006	饰品
5007	外装
^tradeOperation	
6000	上架寄售
6001	购买道具
6002	撤销寄售
6003	过期返还
^resType	
7001	铜币
7002	元宝
7003	购买元宝
7004	体力
7005	经验
7006	真气
7007	晶石
7008	精力
7009	称号
^sysOperation	
10052	充值流水
10053	道具流水
10054	活动奖励
10055	邮件领取
10056	商城购买
10057	铜钱变化
10058	元宝变化
10059	晶石变化
10060	技能升级
10061	技能进阶
10062	心法解锁
10063	心法升级
10064	筋脉升级
10065	宝石镶嵌
10066	宝石合成
10067	擂台挑战
10068	装备强化
10069	装备进阶
10100	野外BOSS
10101	野外击杀
10102	交易操作
10103	交易跟踪
^sysString	
11000	充值金额
11001	订单号
11002	标题
11003	内容
11004	资源
11005	道具
11006	商城购买
11007	数量
11008	剩余
11009	等级
11010	消耗真气
11011	部位
11012	槽孔
11013	名次上升
11014	历史最高
11015	铜币消耗
^subsistence	
12001	首日
12002	次日
12003	三日
12007	七日
12015	半月
12030	一月
